icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
008de4,SFR691  ,South Africa,18.5996,-33.9708,0.0,5.4,351.56,0.0,0.0,0.0,0.0,0
008dea,SFR179  ,South Africa,18.6023,-33.9669,0.0,49.39,165.94,0.0,0.0,43.99,0.0,1
008df9,SFR839  ,South Africa,28.2123,-26.2797,2270.76,110.38,31.47,-3.25,2727.96,60.989999999999995,2727.96,1
008e2f,FJW36J  ,South Africa,28.2492,-26.1015,1813.56,90.29,17.92,10.73,1927.86,-20.08999999999999,-800.1000000000001,1
009434,ZSSNN   ,South Africa,18.6488,-33.96,426.72,52.91,283.5,-0.98,472.44,-37.38000000000001,-1455.4199999999998,1
0096c6,SFR205  ,South Africa,20.9231,-32.5754,11879.58,262.52,47.46,-0.98,12428.22,209.60999999999999,11955.779999999999,1
009ad8,SAA366  ,South Africa,20.0235,-33.1046,7955.28,254.97,50.24,5.2,8359.14,-7.549999999999983,-4069.08,1
009e21,LNK607W ,South Africa,18.7652,-33.8786,1638.3,116.46,285.63,-5.85,1729.74,-138.51,-6629.4,1
00aff0,SFR508  ,South Africa,29.3856,-27.8407,10668.0,238.17,145.38,0.0,11346.18,121.71,9616.44,1
00b02e,SAA226  ,South Africa,-44.5319,-23.1861,10652.76,226.36,269.61,-9.43,11330.94,-11.809999999999974,-15.239999999999782,1
00b08c,SFR323  ,South Africa,27.8122,-26.034,2026.92,93.2,47.24,-5.2,2171.7,-133.16000000000003,-9159.240000000002,1
00b095,SFR507  ,South Africa,29.6535,-27.7209,10972.8,210.05,325.38,0.0,11696.7,116.85000000000001,9525.0,1
00b097,SFR325  ,South Africa,27.4606,-27.2293,8900.16,237.57,9.85,-15.28,9509.76,27.519999999999982,-2186.9400000000005,1
00b098,SFR103  ,South Africa,27.27,-26.6422,8679.18,232.34,222.31,7.15,9273.54,-5.22999999999999,-236.21999999999935,1
00b22c,SAA024  ,South Africa,28.2588,-25.4928,5775.96,200.97,11.37,4.55,6164.58,-31.370000000000005,-3108.960000000001,1
