icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement,pred_altitude,threat_level,anomaly,cluster,cluster_risk,risk_score,loitering,timestamp
00808c,LNK108J ,South Africa,28.2257,-25.4377,6469.38,196.11,43.83,6.5,6903.72,0.0,0.0,1,6258.710936303492,0,0,2,0.7,18.206285714285716,0,2025-12-19 14:31:50.866297
0081ef,SAA359  ,South Africa,19.408,-33.2725,4937.76,193.54,232.89,-3.58,5295.9,-2.5700000000000216,-1607.8200000000006,1,6581.337016164048,2,0,3,0.9,85.05942857142857,0,2025-12-19 14:31:50.866297
008dac,ZSMEE   ,South Africa,18.5108,-33.567,1097.28,45.39,35.31,-3.58,1196.34,-148.14999999999998,-4099.56,1,5831.532535830243,2,0,3,0.9,76.59371428571428,0,2025-12-19 14:31:50.866297
008dee,SFR567  ,South Africa,18.644,-34.1,1043.94,119.79,165.07,7.8,1143.0,74.4,-53.33999999999992,1,5412.49836267056,0,0,3,0.9,18.512142857142855,0,2025-12-19 14:31:50.866297
008df9,SFR477  ,South Africa,27.9256,-25.9358,0.0,0.0,317.81,0.0,0.0,-119.79,-1143.0,0,5671.66237127384,2,0,3,0.9,74.0,0,2025-12-19 14:31:50.866297
008e2f,FJW8663 ,South Africa,28.5874,-25.9478,5600.7,181.44,202.86,-12.68,5989.32,181.44,5989.32,1,6085.615443059134,2,0,0,0.2,77.368,0,2025-12-19 14:31:50.866297
008feb,GBB154K ,South Africa,27.3047,-27.3533,8641.08,237.7,31.73,-7.8,9258.3,56.25999999999999,3268.98,1,6116.949300823117,2,0,2,0.7,85.58285714285714,0,2025-12-19 14:31:50.866297
009131,LNK569Q ,South Africa,28.9209,-27.1215,9281.16,221.06,155.82,6.5,9921.24,-16.639999999999986,662.9400000000005,1,7146.236349949779,2,0,2,0.7,84.632,0,2025-12-19 14:31:50.866297
0092e6,LNK799P ,South Africa,28.1478,-27.5622,10271.76,212.48,209.92,3.58,10934.7,-8.580000000000013,1013.460000000001,1,7109.527948281298,2,0,2,0.7,84.14171428571429,0,2025-12-19 14:31:50.866297
0096c6,SFR102  ,South Africa,27.0046,-27.5659,11117.58,241.51,38.77,-15.93,11849.1,29.03,914.3999999999996,1,5780.0977912729095,2,0,2,0.7,85.80057142857143,0,2025-12-19 14:31:50.866297
00a693,LNK274P ,South Africa,28.8133,-26.0372,5509.26,188.41,92.03,7.8,5882.64,-53.1,-5966.46,1,6886.96557512812,2,0,1,0.4,79.76628571428571,0,2025-12-19 14:31:50.866297
00ae3a,LNK328D ,South Africa,18.5779,-33.1197,7650.48,199.54,354.38,9.1,8122.92,11.129999999999995,2240.28,1,6654.106662044492,2,0,2,0.7,83.40228571428571,0,2025-12-19 14:31:50.866297
00ae82,LNK071P ,South Africa,28.239,-26.1944,1767.84,72.78,16.0,-3.9,1897.38,-126.76,-6225.54,1,5859.203744550025,2,0,1,0.4,73.15885714285714,0,2025-12-19 14:31:50.866297
00aeff,LNK932W ,South Africa,19.8531,-33.2231,9334.5,214.47,50.35,6.5,9875.52,141.69,7978.14,1,6223.179214044991,2,0,0,0.2,79.25542857142857,0,2025-12-19 14:31:50.866297
00af30,SFR464  ,South Africa,18.8751,-33.9941,3086.1,146.35,275.85,-4.23,3307.08,-68.12,-6568.4400000000005,1,6634.541161785661,2,0,1,0.4,77.36285714285714,0,2025-12-19 14:31:50.866297
00af60,SAA077  ,South Africa,25.8362,-25.5479,11894.82,244.77,97.24,0.33,12687.3,98.42000000000002,9380.22,1,6733.029423665109,2,0,0,0.2,80.98685714285715,0,2025-12-19 14:31:50.866297
00afad,LNK107B ,South Africa,28.6332,-25.6104,7101.84,179.78,213.92,-11.05,7581.9,-64.99000000000001,-5105.4,1,6257.600999032831,2,0,2,0.7,82.27314285714286,0,2025-12-19 14:31:50.866297
00aff0,SFR278  ,South Africa,28.4245,-26.0924,3581.4,176.28,128.01,8.45,3817.62,-3.5,-3764.28,1,6170.4841505361965,2,0,3,0.9,84.07314285714286,0,2025-12-19 14:31:50.866297
00b017,LNK886B ,South Africa,28.1986,-26.3245,2529.84,78.01,15.69,-5.2,2682.24,-98.27,-1135.38,1,5695.191321160758,2,0,3,0.9,78.45771428571429,0,2025-12-19 14:31:50.866297
00b095,SFR359  ,South Africa,20.025,-32.5458,10988.04,248.2,46.68,4.55,11391.9,170.19,8709.66,1,6631.706043696921,2,0,0,0.2,81.18285714285715,0,2025-12-19 14:31:50.866297
00b099,SFR249  ,South Africa,28.5095,-26.7621,5212.08,217.16,326.01,-19.51,5600.7,-31.039999999999992,-5791.2,1,7502.123616845887,2,0,1,0.4,81.40914285714285,0,2025-12-19 14:31:50.866297
00b230,SAA422  ,South Africa,28.3447,-27.83,11887.2,232.43,16.59,-0.33,12633.96,162.4,12633.96,1,6393.172718589398,2,0,0,0.2,80.28171428571429,0,2025-12-19 14:31:50.866297
01013c,MSR985  ,Egypt,-73.7914,40.6407,0.0,4.37,42.19,0.0,0.0,-240.93,0.0,0,5844.209393488709,0,1,3,0.9,34.24971428571429,0,2025-12-19 14:31:50.866297
01013d,MSR800  ,Egypt,25.0231,37.555,11277.6,280.67,140.5,0.0,11628.12,276.3,11628.12,1,6775.451765692622,2,0,0,0.2,83.03828571428572,0,2025-12-19 14:31:50.866297
010146,MSR730  ,Egypt,27.206,36.2675,11285.22,262.97,153.13,0.0,11628.12,-17.69999999999999,0.0,1,7725.878207410569,1,0,2,0.7,42.026857142857146,0,2025-12-19 14:31:50.866297
010153,MSR778  ,Egypt,22.1282,40.216,10668.0,264.28,138.71,0.0,10949.94,1.3099999999999454,-678.1800000000003,1,7552.403155756914,2,0,2,0.7,87.10171428571428,0,2025-12-19 14:31:50.866297
010161,MSR736  ,Egypt,30.9291,33.65,11887.2,254.78,178.15,0.0,12222.48,-9.499999999999972,1272.539999999999,1,7643.952495236954,2,0,2,0.7,86.55885714285714,0,2025-12-19 14:31:50.866297
0101a7,NIA223  ,Egypt,23.7784,36.4919,11582.4,200.87,307.93,0.0,11955.78,-53.91,-266.6999999999989,1,7267.772033134614,1,0,2,0.7,51.813285714285655,0,2025-12-19 14:31:50.866297
0101b7,MSR760  ,Egypt,27.2107,36.4595,10668.0,261.43,154.85,0.33,11010.9,60.56,-944.880000000001,1,7317.351865867613,2,0,2,0.7,86.93885714285715,0,2025-12-19 14:31:50.866297
0101b9,MSR734  ,Egypt,31.1777,30.8784,5387.34,226.48,187.96,-10.73,5661.66,-34.95000000000002,-5349.24,1,7118.397723788825,2,0,1,0.4,81.94171428571428,0,2025-12-19 14:31:50.866297
0101bb,MSR726  ,Egypt,27.6875,34.7415,11269.98,256.06,139.24,-0.33,11635.74,29.580000000000013,5974.08,1,6977.857536064039,2,0,0,0.2,81.632,0,2025-12-19 14:31:50.866297
0101bd,MSR768  ,Egypt,17.2195,38.9395,10668.0,260.97,106.26,0.0,10972.8,4.910000000000025,-662.9400000000005,1,7451.117189338849,2,0,2,0.7,86.91257142857143,0,2025-12-19 14:31:50.866297
0101e1,RBG591  ,Egypt,34.0917,29.5638,9906.0,264.13,101.57,6.18,10248.9,3.159999999999968,-723.8999999999996,1,7685.522026504514,2,0,2,0.7,87.09314285714285,0,2025-12-19 14:31:50.866297
010206,MSR913  ,Egypt,32.9628,29.5008,9281.16,198.01,284.29,-7.48,9654.54,-66.12,-594.3599999999988,1,6904.7297990168045,2,0,2,0.7,83.31485714285714,0,2025-12-19 14:31:50.866297
010208,MSR776  ,Egypt,17.8935,43.2183,11277.6,237.99,143.53,-0.33,11460.48,39.98000000000002,1805.9399999999987,1,6977.818287263424,2,0,2,0.7,85.59942857142858,0,2025-12-19 14:31:50.866297
01020a,MSR732  ,Egypt,26.9944,36.5882,11277.6,260.91,152.78,0.0,11628.12,22.920000000000016,167.64000000000124,1,7482.731818921471,1,0,2,0.7,50.29114285714292,0,2025-12-19 14:31:50.866297
